Currency,Currency Name,Currency Unit,Currency Description,Currency PairId,Currency Exchange,Indicator,Indicator Name,Units,Scale,Frequency,Date,Value
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-01,0.004
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-02,0.004
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-03,0.0041
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-04,0.004
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-05,0.0044
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-06,0.004
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-07,0.0039
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-08,0.0033
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-09,0.0033
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-10,0.0029
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-11,0.0031
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-12,0.0032
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-13,0.0031
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-14,0.0027
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-15,0.0028
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-16,0.0029
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-17,0.0027
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-18,0.0027
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-19,0.0028
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-20,0.0025
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-21,0.0024
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-22,0.0026
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-23,0.0026
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-24,0.0025
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-25,0.0025
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-26,0.0023
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-27,0.0022
$$$/USD,$$$/USD,USD,Money US Dollar,1070733,Synthetic,KN.I1,Close,USD,1,D,2018-03-28,0.0023
