"Company","Company Name","Company Ticker","Stock Exchange","Stock Exchange Name","Indicator","Indicator Name","Units","Scale","Frequency","Date","Value"
INFU,InfuSystems Holdings Inc,INFU,50,NYSE Amex,KN.A2,Open,USD,1,D,2021-11-08,16.53
CHMI,Cherry Hill Mortgage Investment Corp (CHMI),CHMI,1,NYSE,KN.A3,High,USD,1,D,2021-11-08,9.19
CATV,4Cable Tv Internatio,CATV,95,OTC Markets,KN.A5,Volume,Number,1,D,2021-11-08,1110000
CATV,4Cable Tv Internatio,CATV,95,OTC Markets,KN.A6,Change %,%,1,D,2021-11-08,0
FENG,Phoenix New Media Limited,FENG,1,NYSE,KN.A1,Close,USD,1,D,2021-11-08,1.57
FENG,Phoenix New Media Limited,FENG,1,NYSE,KN.A2,Open,USD,1,D,2021-11-08,1.56
FENG,Phoenix New Media Limited,FENG,1,NYSE,KN.A3,High,USD,1,D,2021-11-08,1.58
WAFD,Washington Federal Inc,WAFD,2,NASDAQ,KN.A1,Close,USD,1,D,2021-11-08,35.95
WAFD,Washington Federal Inc,WAFD,2,NASDAQ,KN.A2,Open,USD,1,D,2021-11-08,36.28
WAFD,Washington Federal Inc,WAFD,2,NASDAQ,KN.A3,High,USD,1,D,2021-11-08,36.44
WAFD,Washington Federal Inc,WAFD,2,NASDAQ,KN.A4,Low,USD,1,D,2021-11-08,35.77
WAFD,Washington Federal Inc,WAFD,2,NASDAQ,KN.A5,Volume,Number,1,D,2021-11-08,202050
WAFD,Washington Federal Inc,WAFD,2,NASDAQ,KN.A6,Change %,%,1,D,2021-11-08,-0.77
DOC,Physicians Realty Trust,DOC,1,NYSE,KN.A1,Close,USD,1,D,2021-11-08,18.6
DOC,Physicians Realty Trust,DOC,1,NYSE,KN.A2,Open,USD,1,D,2021-11-08,18.88
DOC,Physicians Realty Trust,DOC,1,NYSE,KN.A3,High,USD,1,D,2021-11-08,18.97
FET,Forum Energy Technologies Inc,FET,1,NYSE,KN.A1,Close,USD,1,D,2021-11-08,22.08
FET,Forum Energy Technologies Inc,FET,1,NYSE,KN.A2,Open,USD,1,D,2021-11-08,22.33
FET,Forum Energy Technologies Inc,FET,1,NYSE,KN.A3,High,USD,1,D,2021-11-08,22.86
FET,Forum Energy Technologies Inc,FET,1,NYSE,KN.A4,Low,USD,1,D,2021-11-08,21.9
FET,Forum Energy Technologies Inc,FET,1,NYSE,KN.A5,Volume,Number,1,D,2021-11-08,17160
FET,Forum Energy Technologies Inc,FET,1,NYSE,KN.A6,Change %,%,1,D,2021-11-08,-1.16
GTYH,GTY Technology Holdings Inc A,GTYH,2,NASDAQ,KN.A1,Close,USD,1,D,2021-11-08,7.58
GTYH,GTY Technology Holdings Inc A,GTYH,2,NASDAQ,KN.A2,Open,USD,1,D,2021-11-08,7.57
GTYH,GTY Technology Holdings Inc A,GTYH,2,NASDAQ,KN.A3,High,USD,1,D,2021-11-08,7.6
GTYH,GTY Technology Holdings Inc A,GTYH,2,NASDAQ,KN.A4,Low,USD,1,D,2021-11-08,7.48
ACAZF,Acadian Timber Corp,ACAZF,95,OTC Markets,KN.A1,Close,USD,1,D,2021-11-08,15.142
ACAZF,Acadian Timber Corp,ACAZF,95,OTC Markets,KN.A2,Open,USD,1,D,2021-11-08,15.053
ACAZF,Acadian Timber Corp,ACAZF,95,OTC Markets,KN.A3,High,USD,1,D,2021-11-08,15.162
ACAZF,Acadian Timber Corp,ACAZF,95,OTC Markets,KN.A4,Low,USD,1,D,2021-11-08,15.053
ACAZF,Acadian Timber Corp,ACAZF,95,OTC Markets,KN.A5,Volume,Number,1,D,2021-11-08,2190
ACAZF,Acadian Timber Corp,ACAZF,95,OTC Markets,KN.A6,Change %,%,1,D,2021-11-08,0.88
FDMF,Freedom Energy Hldgs,FDMF,95,OTC Markets,KN.A1,Close,USD,1,D,2021-11-08,0.1617
FDMF,Freedom Energy Hldgs,FDMF,95,OTC Markets,KN.A2,Open,USD,1,D,2021-11-08,0.2199
FDMF,Freedom Energy Hldgs,FDMF,95,OTC Markets,KN.A3,High,USD,1,D,2021-11-08,0.2199
PDM,Piedmont Office Realty Trust Inc,PDM,1,NYSE,KN.A1,Close,USD,1,D,2021-11-08,18.82
