CURRENCY,CURRENCY_UNIT,FREQUENCY,EXCHANGE_DATE,EXCHANGE_VALUE,INDICATOR,INDICATOR_NAME,DATA_SOURCE_NAME
USD/TZS,TZS,D,2014-02-05,1610,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-06,1620,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-07,1620,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-10,1620,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-11,1611,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-12,1619.5,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-13,1622,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-14,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-17,1610.5,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-18,1613,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-19,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-20,1624,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-21,1620,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-24,1625,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-25,1622,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-26,1622,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-27,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-02-28,1620,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-03,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-04,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-05,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-06,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-07,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-10,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-11,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-12,1621.5,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-13,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-14,1620.5,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-17,1630,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-18,1626,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-19,1631,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-20,1630,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-21,1626,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-24,1634,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-25,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-26,1638,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-27,1630,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-28,1634,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-03-31,1634,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-01,1632,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-02,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-03,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-04,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-07,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-08,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-09,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-10,1623,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-11,1621.5,KN.I4,Low,Eda.FX Rates
USD/TZS,TZS,D,2014-04-14,1623,KN.I4,Low,Eda.FX Rates
