COMPANY,COMPANY_NAME,COMPANY_SYMBOL,STOCK_EXCHANGE,STOCK_EXCHANGE_NAME,INDICATOR,INDICATOR_NAME,UNITS,SCALE,FREQUENCY,STOCK_DATE,STOCK_VALUE,DATA_SOURCE_NAME
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-04-25,4.4,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-04-26,4.46,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-04-27,4.48,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-04-28,4.53,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-04-29,4.51,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-02,4.49,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-04,4.48,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-05,4.61,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-06,4.62,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-09,4.57,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-10,4.52,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-11,4.52,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-12,4.55,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-13,4.54,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-16,4.65,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-17,4.47,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-18,4.62,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-19,4.61,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-20,4.62,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-23,4.67,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-24,4.77,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-25,4.77,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-26,4.77,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-27,4.85,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-05-31,4.81,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-06-01,4.83,Eda.Stock History
TLF,Tandy Leather Factory Inc,TLF,2,NASDAQ,KN.A1,Close,USD,1,D,2011-06-02,4.78,Eda.Stock History
